 &plot nbnd=  40, nks=   151 /
            0.000000  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.568   -1.065
   -0.564    0.072    3.965    5.257    6.530    6.541    7.364    7.733    7.748    7.933
    8.029    9.301    9.560    9.672    9.683    9.785   10.131   10.430   11.115   11.928
   13.007   13.329   13.416   13.462   14.274   14.998   16.181   16.276   16.915   17.675
            0.016667  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.567   -1.065
   -0.564    0.066    3.973    5.253    6.416    6.653    7.362    7.735    7.751    7.932
    8.034    9.303    9.561    9.671    9.683    9.785   10.130   10.433   11.116   11.930
   13.006   13.329   13.408   13.454   14.275   15.000   16.162   16.286   16.924   17.692
            0.033333  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.563   -1.063
   -0.563    0.048    3.997    5.242    6.295    6.765    7.359    7.743    7.760    7.929
    8.050    9.307    9.563    9.666    9.684    9.785   10.126   10.439   11.118   11.935
   13.004   13.329   13.386   13.432   14.277   15.005   16.106   16.314   16.948   17.741
            0.050000  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.556   -1.061
   -0.562    0.020    4.037    5.223    6.174    6.873    7.354    7.757    7.774    7.924
    8.077    9.314    9.567    9.658    9.685    9.786   10.120   10.450   11.123   11.943
   13.001   13.328   13.350   13.396   14.281   15.013   16.024   16.359   16.982   17.818
            0.066667  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.546   -1.057
   -0.561   -0.020    4.091    5.199    6.053    6.974    7.348    7.774    7.794    7.917
    8.115    9.324    9.572    9.647    9.686    9.786   10.113   10.464   11.131   11.955
   12.996   13.302   13.319   13.354   14.287   15.024   15.926   16.420   17.018   17.812
            0.083333  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.533   -1.053
   -0.559   -0.068    4.158    5.169    5.932    7.067    7.341    7.796    7.817    7.908
    8.165    9.336    9.579    9.634    9.687    9.786   10.103   10.482   11.140   11.969
   12.990   13.244   13.271   13.340   14.295   15.038   15.817   16.493   17.056   17.802
            0.100000  0.000000  0.000000
  -75.921  -75.921  -42.090  -42.089  -41.998  -41.998  -41.972  -41.972   -3.518   -1.049
