 &plot nbnd=  40, nks=   151 /
            0.000000  0.000000  0.000000
  -75.604  -75.604  -41.741  -41.741  -41.724  -41.723  -41.705  -41.705   -3.525   -0.976
   -0.500    0.142    3.666    4.882    5.546    6.446    6.579    6.698    6.714    6.751
    7.410    7.776    8.105    8.135    8.686    8.992    8.997   10.489   11.964   12.044
   13.493   13.617   13.736   14.066   14.125   15.027   16.229   16.290   16.942   17.730
            0.016667  0.000000  0.000000
  -75.604  -75.604  -41.741  -41.741  -41.724  -41.723  -41.705  -41.705   -3.524   -0.975
   -0.499    0.136    3.673    4.879    5.539    6.446    6.578    6.698    6.715    6.751
    7.411    7.773    8.111    8.145    8.686    8.989    8.998   10.490   11.943   12.067
   13.484   13.616   13.736   14.067   14.117   15.029   16.210   16.301   16.951   17.747
            0.033333  0.000000  0.000000
  -75.604  -75.604  -41.741  -41.741  -41.724  -41.723  -41.705  -41.705   -3.520   -0.974
   -0.499    0.118    3.696    4.870    5.518    6.447    6.572    6.698    6.719    6.753
    7.413    7.765    8.131    8.174    8.688    8.983    9.002   10.494   11.904   12.109
   13.460   13.615   13.737   14.072   14.094   15.034   16.155   16.332   16.975   17.795
            0.050000  0.000000  0.000000
  -75.604  -75.604  -41.741  -41.741  -41.724  -41.723  -41.705  -41.705   -3.513   -0.971
   -0.498    0.088    3.734    4.855    5.485    6.448    6.565    6.697    6.724    6.756
    7.416    7.753    8.161    8.221    8.691    8.972    9.008   10.499   11.862   12.156
   13.421   13.614   13.739   14.057   14.079   15.041   16.075   16.381   17.007   17.861
            0.066667  0.000000  0.000000
  -75.604  -75.604  -41.741  -41.741  -41.724  -41.723  -41.705  -41.705   -3.503   -0.968
   -0.496    0.047    3.785    4.834    5.441    6.449    6.557    6.695    6.731    6.761
    7.421    7.740    8.199    8.283    8.696    8.957    9.017   10.507   11.820   12.206
   13.367   13.611   13.741   14.009   14.090   15.052   15.978   16.447   17.042   17.850
            0.083333  0.000000  0.000000
  -75.604  -75.604  -41.741  -41.741  -41.724  -41.723  -41.705  -41.705   -3.490   -0.964
   -0.494   -0.003    3.849    4.808    5.386    6.451    6.548    6.694    6.738    6.766
    7.427    7.726    8.244    8.359    8.702    8.939    9.028   10.516   11.779   12.256
   13.300   13.608   13.744   13.953   14.104   15.065   15.871   16.525   17.078   17.838
            0.100000  0.000000  0.000000
  -75.604  -75.603  -41.741  -41.740  -41.724  -41.723  -41.705  -41.705   -3.475   -0.959
   -0.492   -0.061    3.924    4.778    5.323    6.453    6.540    6.692    6.745    6.773
